hb, dsr, seed, mw, mh, w, h, wl, t
200, 0.15, 75, 449, 449, 449, 449, 374204, 141.11
200, 0.1, 75, 439, 439, 439, 439, 391938, 146.35
300, 0.15, 75, 560, 560, 560, 560, 509719, 349.18
300, 0.1, 75, 548, 548, 548, 548, 552516, 335.28
100, 0.15, 76, 454, 454, 453, 454, 206487, 35.37
100, 0.1, 76, 444, 444, 443, 443, 213140, 29.99
200, 0.15, 76, 449, 449, 449, 449, 378226, 145.77
200, 0.1, 76, 439, 439, 439, 439, 387133, 147.82
300, 0.15, 76, 560, 560, 560, 559, 509256, 329.41
300, 0.1, 76, 548, 548, 548, 548, 541521, 334.37
100, 0.15, 77, 454, 454, 451, 451, 209197, 32.52
100, 0.1, 77, 444, 444, 444, 444, 215539, 33.66
200, 0.15, 77, 449, 449, 448, 448, 375746, 141.08
200, 0.1, 77, 439, 439, 438, 439, 389967, 139.67
300, 0.15, 77, 560, 560, 560, 559, 510680, 335.99
300, 0.1, 77, 548, 548, 548, 548, 537513, 327.16
100, 0.15, 78, 454, 454, 454, 453, 208085, 32.96
100, 0.1, 78, 444, 444, 444, 444, 212343, 34.43
200, 0.15, 78, 449, 449, 449, 448, 386032, 145.38
200, 0.1, 78, 439, 439, 439, 439, 386649, 145.3
300, 0.15, 78, 560, 560, 559, 559, 515995, 341.24
300, 0.1, 78, 548, 548, 548, 548, 539331, 330.36
100, 0.15, 79, 454, 454, 454, 454, 207493, 29.75
100, 0.1, 79, 444, 444, 443, 444, 212918, 30.47
200, 0.15, 79, 449, 449, 449, 449, 376056, 143.91
200, 0.1, 79, 439, 439, 439, 439, 386932, 155.03
300, 0.15, 79, 560, 560, 560, 556, 509959, 322.66
300, 0.1, 79, 548, 548, 548, 548, 544688, 327.94
100, 0.15, 80, 454, 454, 454, 453, 211008, 33.83
100, 0.1, 80, 444, 444, 444, 444, 215487, 34.72
200, 0.15, 80, 449, 449, 449, 444, 373820, 141.9
200, 0.1, 80, 439, 439, 439, 438, 389432, 139.61
300, 0.15, 80, 560, 560, 560, 560, 514686, 343.6
300, 0.1, 80, 548, 548, 548, 548, 550470, 325.61
100, 0.15, 81, 454, 454, 453, 454, 207781, 32.62
100, 0.1, 81, 444, 444, 444, 444, 221401, 31.51
200, 0.15, 81, 449, 449, 449, 449, 381356, 146.86
200, 0.1, 81, 439, 439, 438, 439, 384103, 145.85
300, 0.15, 81, 560, 560, 560, 560, 508883, 336.67
300, 0.1, 81, 548, 548, 548, 547, 538770, 337.17
100, 0.15, 82, 454, 454, 454, 452, 208662, 34.53
100, 0.1, 82, 444, 444, 444, 444, 215835, 31.43
200, 0.15, 82, 449, 449, 449, 449, 378354, 141.08
200, 0.1, 82, 439, 439, 439, 438, 389843, 146.66
300, 0.15, 82, 560, 560, 559, 560, 512559, 345.56
300, 0.1, 82, 548, 548, 548, 548, 544777, 329.62
100, 0.15, 83, 454, 454, 452, 454, 205097, 33.31
100, 0.1, 83, 444, 444, 444, 444, 215828, 30.51
200, 0.15, 83, 449, 449, 448, 449, 375631, 144.72
200, 0.1, 83, 439, 439, 439, 439, 387578, 148.67
300, 0.15, 83, 560, 560, 560, 551, 509015, 334.34
300, 0.1, 83, 548, 548, 548, 548, 545545, 334.55
100, 0.15, 84, 454, 454, 452, 454, 211039, 32.77
100, 0.1, 84, 444, 444, 444, 444, 215580, 34.79
200, 0.15, 84, 449, 449, 449, 448, 373014, 145.94
200, 0.1, 84, 439, 439, 439, 439, 391217, 152.78
300, 0.15, 84, 560, 560, 560, 556, 505134, 356.86
300, 0.1, 84, 548, 548, 548, 548, 551642, 340.99
100, 0.15, 85, 454, 454, 454, 451, 206588, 32.24
100, 0.1, 85, 444, 444, 444, 444, 214538, 32.26
200, 0.15, 85, 449, 449, 449, 449, 378990, 151.61
200, 0.1, 85, 439, 439, 439, 439, 388368, 160.06
300, 0.15, 85, 560, 560, 560, 559, 509304, 341.38
300, 0.1, 85, 548, 548, 548, 548, 546034, 342.48
100, 0.15, 86, 454, 454, 454, 453, 207006, 34.57
100, 0.1, 86, 444, 444, 444, 444, 213401, 33.53
200, 0.15, 86, 449, 449, 449, 449, 382234, 145.37
200, 0.1, 86, 439, 439, 439, 439, 387455, 159.84
300, 0.15, 86, 560, 560, 560, 559, 509933, 343.71
300, 0.1, 86, 548, 548, 548, 548, 548305, 350.67
100, 0.15, 87, 454, 454, 454, 454, 208657, 32.07
100, 0.1, 87, 444, 444, 443, 444, 212727, 32.24
200, 0.15, 87, 449, 449, 448, 449, 376118, 149.81
200, 0.1, 87, 439, 439, 439, 439, 388356, 141.82
